companyname companyname firstname_lastname
Morgan_Stanley_Dean_Witter AMR Edward_A._Brennan
Allstate AMR Edward_A._Brennan
Aetna AMR Earl_G._Graves
Fannie_Mae AMR Ann_McLaughlin
Morgan_Stanley_Dean_Witter AMR Michael_A._Miles
Sears_Roebuck AMR Michael_A._Miles
Dell_Computer AMR Michael_A._Miles
Allstate AMR Michael_A._Miles
Morgan_Stanley_Dean_Witter AMR Philip_J._Purcell
Aetna AMR Judith_Rodin
Kmart Caterpillar Lilyan_H._Affinito
International_Paper Caterpillar John_T._Dillon
Exxon-Mobil Caterpillar Donald_V._Fites
AT*T Caterpillar Donald_V._Fites
Georgia-Pacific Caterpillar Donald_V._Fites
Georgia-Pacific Caterpillar David_R._Goode
Safeway Caterpillar Peter_A._Magowan
ConAgra Caterpillar Clayton_K._Yeutter
FleetBoston_Financial CVS Thomas_M._Ryan
Pfizer CVS W._Don_Cornwell
Fannie_Mae CVS Thomas_P._Gerrity
FleetBoston_Financial CVS Marian_L._Heard
FleetBoston_Financial CVS Terrence_Murray
Dynegy CVS Sheli_Z._Rosenberg
Honeywell_International CVS Ivan_G._Seidenberg
