RDF Properties:
                            value                            | count 
 http://xmlns.com/foaf/0.1/homepage                          |    24
 http://xmlns.com/foaf/0.1/workplaceHomepage                 |    26
 http://www.w3.org/1999/xhtmltr                              |    27
 http://purl.org/rss/1.0/description                         |    30
 http://www.ietf.org/rfc/rfc2445.txt#hour                    |    34
 http://www.ietf.org/rfc/rfc2445.txt#minute                  |    34
 http://purl.org/rss/1.0/link                                |    36
 http://www.w3.org/1999/02/22-rdf-syntax-ns#seeAlso          |    38
 http://xmlns.com/foaf/0.1/interest                          |    38
 http://jibbering.com/2002/3/svg/#depiction                  |    40
 http://jibbering.com/2002/3/svg/#hasPart                    |    40
 http://jibbering.com/2002/3/svg/#polypath                   |    40
 http://www.w3.org/2000/01/rdf-schema#label                  |    41
 http://www.w3.org/1999/xhtmlli                              |    45
 http://www.w3.org/2000/10/swap/pim/usps#cityName            |    46
 http://purl.org/rss/1.0/title                               |    48
 http://purl.org/dc/elements/1.1/contributor                 |    51
 http://www.w3.org/1999/xhtmlid                              |    53
 http://www.w3.org/1999/xhtmlname                            |    53
 http://xmlns.com/foaf/0.1/knows                             |    55
 http://opencyc.sourceforge.net/daml/cyc.daml#inRegion       |    70
 http://purl.org/dc/elements/1.1/format                      |    70
 http://xmlns.com/foaf/0.1/attendeeOf                        |    70
 http://xmlns.com/foaf/0.1/during                            |    70
 http://xmlns.com/foaf/0.1/monthName                         |    70
 http://rdf.desire.org/vocab/recommend.rdf#annotator         |    75
 http://www.w3.org/1999/xhtmla                               |    78
 http://www.w3.org/1999/xhtmlhref                            |    98
 http://purl.org/dc/elements/1.1/coverage                    |   107
 http://sophia.inria.fr/~enerbonn/rdfpiclang#xmllang         |   107
 http://www.w3.org/1999/02/22-rdf-syntax-ns#value            |   107
 http://xmlns.com/foaf/0.1/location                          |   107
 http://www.w3.org/1999/xhtmlcode                            |   126
 http://rdf.desire.org/vocab/recommend.rdf#annotates         |   129
 http://purl.org/dc/elements/1.1/title                       |   157
 http://purl.org/dc/elements/1.1/creator                     |   181
 http://purl.org/dc/elements/1.1/description                 |   226
 http://www.w3.org/2000/01/rdf-schema#seeAlso                |   237
 http://xmlns.com/foaf/0.1/thumbnail                         |   285
 http://purl.org/dc/elements/1.1/date                        |   287
 http://www.w3.org/1999/xhtmlparseType                       |   350
 http://xmlns.com/foaf/0.1/depiction                         |   355
 http://xmlns.com/foaf/0.1/name                              |   570
 http://xmlns.com/foaf/0.1/mbox                              |   691
 http://www.w3.org/1999/02/22-rdf-syntax-ns#type             |  1929
(156 rows)

RDF Classes:
                          value                          | count 
---------------------------------------------------------+-------
 http://purl.org/dc/elements/1.1/description             |     1
 http://purl.org/rss/1.0/image                           |     1
 http://www.ietf.org/rfc/rfc2445.txt#Vcalendar           |     1
 http://www.w3.org/1999/02/22-rdf-syntax-ns#Person       |     1
 http://www.w3.org/1999/xhtmladdress                     |     1
 http://www.w3.org/1999/xhtmldiv                         |     1
 http://www.w3.org/1999/xhtmlh1                          |     1
 http://www.w3.org/1999/xhtmlh5                          |     1
 http://www.w3.org/1999/xhtmlhtml                        |     1
 http://www.w3.org/1999/xhtmllink                        |     1
 http://www.w3.org/1999/xhtmlstyle                       |     1
 http://www.w3.org/1999/xhtmlsup                         |     1
 http://www.w3.org/1999/xhtmltitle                       |     1
 http://xmlns.com/foaf/0.1/thumbnail                     |     1
 http://xmlns.com/wordnet/1.6/Airport                    |     1
 http://xmlns.com/wordnet/1.6/Dog                        |     1
 http://xmlns.com/wordnet/1.6/Presentation               |     1
 http://xmlns.com/wordnet/1.6/Project                    |     1
 http://xmlns.com/wordnet/1.6/Rock_hyrax                 |     1
 http://xmlns.com/wordnet/1.6/Snowman                    |     1
 http://www.w3.org/1999/xhtmldl                          |     2
 http://www.w3.org/2000/10/swap/pim/contact#Person       |     2
 http://www.w3.org/1999/xhtmltable                       |     3
 http://www.w3.org/1999/02/22-rdf-syntax-ns#Seq          |     4
 http://www.w3.org/1999/xhtmldt                          |     4
 http://xmlns.com/foaf/0.1/Image                         |     4
 http://www.w3.org/1999/xhtmldd                          |     5
 http://www.w3.org/1999/xhtmlhr                          |     5
 http://www.w3.org/1999/xhtmlth                          |     6
 http://www.w3.org/1999/xhtmlcode                        |     7
 http://www.w3.org/1999/xhtmlh3                          |     7
 http://www.w3.org/1999/xhtmlsmall                       |     7
 http://www.w3.org/1999/xhtmlul                          |     7
 http://example/foo@@#Presentation                       |     8
 http://xmlns.com/wordnet/1.6/Endorsement                |     8
 http://www.w3.org/1999/xhtmlh2                          |    13
 http://purl.org/rss/1.0/channel                         |    16
 http://www.w3.org/1999/xhtmlbr                          |    16
 http://www.ietf.org/rfc/rfc2445.txt#Vevent              |    17
 http://www.w3.org/1999/xhtmlh4                          |    24
 http://www.w3.org/2000/10/swap/pim/earthMap#countryName |    24
 http://purl.org/rss/1.0/item                            |    31
 http://xmlns.com/wordnet/1.6/Document                   |    33
 http://www.ietf.org/rfc/rfc2445.txt#Date                |    34
 http://xmlns.com/foaf/0.1/Document                      |    35
 http://jibbering.com/2002/3/svg/#Polygon                |    40
 http://www.w3.org/2000/10/swap/pim/usps#stateAbbr       |    46
 http://xmlns.com/foaf/0.1/homepage                      |    56
 http://xmlns.com/wordnet/1.6/Person                     |    56
 http://opencyc.sourceforge.net/daml/cyc.daml#inRegion   |    70
 http://www.w3.org/2000/01/rdf-schema#label              |    70
 http://xmlns.com/foaf/0.1/during                        |    70
 http://xmlns.com/foaf/0.1/yyyy                          |    70
 http://www.w3.org/1999/xhtmla                           |    72
 http://www.w3.org/1999/xhtmltd                          |    77
 http://www.w3.org/1999/xhtmlp                           |    84
 http://xmlns.com/foaf/0.1/Geo                           |   107
 http://xmlns.com/wordnet/1.6/Picture                    |   155
 http://xmlns.com/foaf/0.1/Person                        |   614
(59 rows)

